Artigo,Funexpression
BCIN_02g03080,BCIN_05g00840
BCIN_03g01500,BCIN_05g00870
BCIN_01g03290,BCIN_05g00930
BCIN_07g00740,BCIN_05g01100
BCIN_05g00350,BCIN_05g01130
BCIN_01g08520,BCIN_05g01240
BCIN_04g01830,BCIN_05g01420
BCIN_09g01200,BCIN_05g01560
BCIN_10g03790,BCIN_05g01570
BCIN_01g11050,BCIN_05g01610
BCIN_10g04220,BCIN_05g01640
BCIN_16g01380,BCIN_05g01660
BCIN_03g01130,BCIN_05g01750
BCIN_06g00150,BCIN_05g01820
BCIN_03g09180,BCIN_05g01830
BCIN_07g06710,BCIN_05g01960
BCIN_01g08070,BCIN_05g02090
BCIN_11g04170,BCIN_05g02130
BCIN_01g02270,BCIN_05g02170
BCIN_16g03190,BCIN_05g02180
BCIN_09g01460,BCIN_05g02390
BCIN_07g03800,BCIN_05g02470
BCIN_03g04430,BCIN_05g02630
BCIN_03g04040,BCIN_05g02710
BCIN_04g06850,BCIN_05g02820
BCIN_02g03160,BCIN_05g02830
BCIN_04g01920,BCIN_05g02840
BCIN_01g00790,BCIN_05g02960
BCIN_01g08050,BCIN_05g02970
BCIN_13g00270,BCIN_05g03040
BCIN_16g04180,BCIN_05g03110
BCIN_04g05870,BCIN_05g03150
BCIN_14g01450,BCIN_05g03290
BCIN_05g06280,BCIN_05g03340
BCIN_08g05390,BCIN_05g03370
BCIN_14g02910,BCIN_05g03380
BCIN_04g02980,BCIN_05g03470
BCIN_15g03150,BCIN_05g03510
BCIN_17g00030,BCIN_05g03520
BCIN_15g04760,BCIN_05g03530
BCIN_01g07550,BCIN_05g03540
BCIN_01g08940,BCIN_05g03550
BCIN_08g02920,BCIN_05g03570
BCIN_16g02700,BCIN_05g03580
BCIN_04g06620,BCIN_05g03610
BCIN_01g06210,BCIN_05g03700
BCIN_14g04170,BCIN_05g03710
BCIN_05g06550,BCIN_05g03720
BCIN_05g04050,BCIN_05g03750
BCIN_09g01920,BCIN_05g03790
BCIN_01g09760,BCIN_05g03830
BCIN_02g03910,BCIN_05g03870
BCIN_01g08270,BCIN_05g03880
BCIN_03g07210,BCIN_05g03920
BCIN_10g05940,BCIN_05g03930
BCIN_06g01420,BCIN_05g04030
BCIN_13g05800,BCIN_05g04040
BCIN_07g01590,BCIN_05g04070
BCIN_11g06040,BCIN_05g04280
BCIN_08g02830,BCIN_05g04290
