Gene_ID	Gene_Name	logFC	logCPM	LR	PValue	FDR
BCIN_06g03370	Bcpic2	-1.25446075070957	5.62691249992645	62.3527227081294	2.87134189391404e-15	2.77369693388532e-14
BCIN_06g06910	Uncharacterized	2.11285349676754	3.18753409407797	62.2433470718894	3.03532646516088e-15	2.92881781229144e-14
BCIN_06g07430	Uncharacterized	1.56972411517726	9.07917920969728	62.2038823332178	3.09676809136904e-15	2.98475733061739e-14
BCIN_02g03910	Uncharacterized	-1.79913398729598	7.58834045450697	62.1155712756652	3.23880259967395e-15	3.11816263706865e-14
BCIN_05g04480	Bcpah1	1.04455755640441	6.52052237284112	62.0042738323259	3.42712698957047e-15	3.29578569823833e-14
BCIN_08g03190	Uncharacterized	0.980274969846055	5.083590684907	61.9948661259167	3.44353909640509e-15	3.30787287977217e-14
BCIN_11g04390	Uncharacterized	1.16720864990686	6.60400244894612	61.952515130969	3.51840127374063e-15	3.37601781082337e-14
BCIN_07g06220	Uncharacterized	-1.89715170238855	8.75886109388633	61.9211963344424	3.57480759835946e-15	3.42632171481958e-14
BCIN_02g04910	Uncharacterized	-1.15283740261558	6.349819526982	61.8848999364952	3.64131157645253e-15	3.48618117224994e-14
BCIN_11g03450	Bclsc1	-1.36307408778054	5.68337431558284	61.8003656624729	3.80103743113633e-15	3.63505879664338e-14
BCIN_03g08710	Uncharacterized	-2.9596975914579	7.57254706390516	61.7299789034203	3.93936718800334e-15	3.76316685761872e-14
BCIN_03g06610	Uncharacterized	0.983843194968402	4.15009197505291	61.6638347483469	4.07394615801726e-15	3.8874118161923e-14
BCIN_15g05400	Uncharacterized	1.57181299110519	3.3995780107227	61.6169112820581	4.17219804126371e-15	3.97675620610817e-14
BCIN_01g04150	Uncharacterized	1.18245767184071	7.38840397321785	61.4948320525367	4.43906761916654e-15	4.22644413696531e-14
BCIN_12g02060	BcxlnR	-1.70235774576859	8.30686578330008	61.3472681736076	4.78454668065373e-15	4.55034179893775e-14
BCIN_09g03490	Uncharacterized	2.89255801932861	5.24056760649604	61.3361833538784	4.81155980234524e-15	4.57098181222797e-14
BCIN_06g00050	Uncharacterized	1.0377831058657	4.84396647159995	61.1863169219188	5.19211272456018e-15	4.92706882252365e-14
BCIN_14g01460	Uncharacterized	1.07914347624942	5.73217602473349	61.1200666384098	5.36980227675363e-15	5.09007579251305e-14
BCIN_15g01040	Uncharacterized	1.52568814625062	6.33904056501427	61.0258711839122	5.63296858323902e-15	5.33365903145635e-14
BCIN_03g05000	Uncharacterized	0.956652187496104	6.37420563161702	60.9373904231855	5.89191095720334e-15	5.57271182512628e-14
BCIN_13g02090	Uncharacterized	2.02921916843542	3.38356116762189	60.8248553812476	6.23852636952281e-15	5.89407205954806e-14
BCIN_02g05330	Uncharacterized	2.19326809636599	2.15047695081896	60.7651837536741	6.43052133318107e-15	6.06880450818964e-14
BCIN_12g04950	Uncharacterized	1.41140307697965	5.74613417116809	60.6406547910905	6.85045116683307e-15	6.45803211313606e-14
BCIN_03g01570	Uncharacterized	-5.4098101255744	9.03065373003194	60.6075938332316	6.96647482141394e-15	6.56022415622645e-14
BCIN_04g05300	Bcglr1	-1.73733759784993	8.42210791426809	60.5596040692403	7.13839646616463e-15	6.71477359391027e-14
BCIN_01g04880	Uncharacterized	2.17674026209556	6.49831953412705	60.5248558100283	7.26552451064055e-15	6.82689622959424e-14
BCIN_09g05640	Uncharacterized	1.82045413066327	4.47288539694823	60.4846460817984	7.41546340171124e-15	6.96018467813835e-14
BCIN_01g05300	Uncharacterized	-1.48177406098721	4.13543078730341	60.3778429778338	7.8289281682103e-15	7.34025977601155e-14
BCIN_07g03180	Uncharacterized	1.74318328327339	2.64859619720431	60.2657204365533	8.28782626236333e-15	7.76205882917967e-14
BCIN_13g01090	Uncharacterized	3.27043340545483	5.98412348269039	60.2254722587623	8.45903904512994e-15	7.91379881102537e-14
BCIN_07g01020	Uncharacterized	1.99153099403766	7.20192258044358	60.0955347151834	9.03631121492123e-15	8.44468302137101e-14
BCIN_13g03370	Uncharacterized	2.24557265721951	7.90525383102236	60.0717162829647	9.14632682793088e-15	8.53822505509773e-14
BCIN_09g05110	Uncharacterized	-1.91003256448773	6.55878358489726	60.049716627739	9.24913179128812e-15	8.62484044719576e-14
BCIN_13g02190	Uncharacterized	1.20622724849012	4.20409436290066	59.997854033183	9.49608565365716e-15	8.84554212348779e-14
BCIN_12g06600	Uncharacterized	-1.41342650239291	3.71753920745511	59.929795660844	9.83019568027738e-15	9.14686424001594e-14
BCIN_05g01970	Uncharacterized	4.83409786011804	9.76448556297588	59.9139182830551	9.90981738612977e-15	9.21099333071479e-14
BCIN_16g01040	Uncharacterized	1.5526240742454	3.3507789719498	59.8489709006326	1.02422892071608e-14	9.50975007616324e-14
BCIN_02g06820	Bckgd2	-1.09714150652876	8.27357256918195	59.7263709554038	1.09006092329591e-14	1.01100801366464e-13
BCIN_02g02570	Bcatg8	0.986588592580127	9.04443688672553	59.5608532757089	1.18570429231798e-14	1.09853141485262e-13
BCIN_03g02880	Uncharacterized	5.47927952078095	7.29323913882318	59.5506880336542	1.1918446697816e-14	1.10303301858174e-13
